1,2,None
2,3,4
5,6,None
2,5,7
8,9,None
2,8,10
2,11,12
2,13,14
1,15,None
15,8,16
2,17,18
2,19,20
2,21,22
23,17,24
25,26,None
27,28,None
26,27,29
1,30,31
2,6,32
33,8,None
8,34,35
36,37,38
2,9,39
30,40,None
40,6,41
33,42,43
44,45,None
45,8,46
13,17,47
48,3,49
21,50,51
52,26,53
11,48,54
19,50,55
2,26,56
21,13,57
27,13,58
59,60,None
60,61,62
2,40,63
2,64,65
52,34,66
67,68,None
68,26,69
2,70,71
19,64,72
48,17,73
74,75,None
75,76,77
70,78,79
80,81,None
60,80,82
70,60,83
17,5,84
85,13,86
17,64,87
88,89,90
88,91,92
88,93,94
95,96,97
11,70,98
11,17,99
100,101,102
89,103,104
52,13,105
68,100,106
107,89,108
109,110,None
75,109,111
88,112,113
75,114,115
11,3,None
116,117,None
117,76,118
8,5,119
2,50,120
121,122,123
124,5,None
70,13,125
78,17,126
17,50,127
128,129,None
75,128,130
9,3,131
132,133,None
75,132,134
60,17,135
48,21,136
124,8,137
138,70,139
9,140,141
142,128,None
128,128,143
9,144,145
146,17,147
13,68,148
64,13,149
26,122,150
151,152,None
152,153,154
155,21,None
9,155,156
157,158,None
9,157,159
9,6,160
116,76,None
68,161,162
13,163,164
13,161,165
9,11,166
13,167,168
13,101,169
170,171,None
67,170,172
27,85,173
13,174,175
100,167,176
13,100,177
3,155,178
45,144,None
11,45,179
180,181,None
6,180,182
68,101,183
13,184,185
67,85,186
17,70,187
85,68,188
189,68,190
17,191,192
17,193,194
170,85,195
196,197,None
198,196,199
101,200,201
17,202,203
45,9,204
174,68,205
13,206,207
208,198,209
210,163,211
70,212,213
17,85,214
215,85,216
217,218,None
17,217,219
220,155,None
155,2,221
222,70,223
224,193,225
226,100,227
228,157,None
157,229,230
231,232,None
232,189,233
17,6,234
17,235,236
157,6,237
68,238,239
17,240,241
17,196,242
215,171,243
17,224,244
245,246,None
26,245,247
248,245,None
17,222,249
17,68,250
251,252,None
191,251,253
36,68,254
13,26,255
44,256,257
258,70,259
260,261,None
262,260,263
85,52,264
265,266,None
267,193,268
26,269,270
60,271,272
44,9,273
17,274,275
276,100,277
278,279,None
101,278,280
281,282,None
283,281,284
231,285,None
285,235,286
17,26,287
17,288,289
17,212,290
60,198,291
26,70,292
17,138,293
68,60,294
17,251,295
174,235,296
17,297,298
299,68,300
85,28,301
212,5,302
303,304,None
305,303,306
17,229,307
308,288,309
222,61,310
311,23,None
155,311,312
313,314,None
17,313,315
52,224,316
17,317,318
319,320,None
17,319,321
85,184,322
323,288,None
155,323,324
17,325,326
155,11,327
328,320,None
155,328,329
330,331,None
332,330,333
334,335,None
335,11,336
17,121,337
338,6,None
155,338,339
100,317,340
341,81,None
155,341,342
101,288,343
344,61,345
346,68,347
60,196,348
349,313,None
313,350,351
352,9,None
155,352,353
354,355,None
356,25,None
355,356,357
358,224,359
3,17,360
361,362,363
224,68,364
365,155,None
155,23,366
198,224,367
368,352,None
352,3,369
320,60,370
362,371,372
373,374,375
376,352,None
352,11,377
361,378,379
380,381,None
382,67,None
381,382,383
384,385,386
361,387,388
389,362,390
361,391,392
393,11,394
395,356,None
355,396,None
397,398,None
361,397,399
400,338,None
338,3,401
402,403,None
361,402,404
361,405,406
361,407,408
409,410,None
361,409,411
361,412,413
361,414,415
361,416,417
418,382,None
382,305,419
361,420,421
60,422,423
424,311,None
425,3,426
389,371,427
428,328,None
328,323,429
430,391,431
432,433,None
434,435,None
433,436,None
435,433,437
362,438,439
361,440,441
405,442,443
444,445,None
361,444,446
361,447,448
432,361,None
432,449,None
361,450,451
452,440,453
432,454,None
455,323,None
450,385,456
457,458,None
458,311,459
460,59,None
328,460,461
361,462,463
414,389,464
465,466,None
466,323,467
468,371,469
412,470,471
361,384,472
438,470,473
385,474,475
323,476,477
470,447,478
389,384,479
361,374,480
361,481,482
483,484,485
435,397,486
412,450,487
488,489,None
361,488,490
491,385,492
493,460,None
494,495,None
460,494,496
497,498,499
361,438,500
501,502,None
155,501,503
432,504,None
361,505,506
507,508,None
361,507,509
450,510,511
362,470,512
513,362,514
515,516,None
516,384,517
449,449,None
449,518,519
513,397,520
521,522,None
522,60,523
524,454,None
525,526,None
454,525,527
528,529,None
361,528,530
483,531,None
531,484,532
533,534,None
534,433,535
449,454,536
361,361,None
361,454,537
361,538,539
540,433,541
542,543,None
454,542,544
545,433,None
454,546,547
454,540,548
525,498,549
550,524,551
398,433,552
398,498,553
554,433,555
361,534,556
435,557,None
554,558,None
558,433,559
560,561,None
562,563,564
565,562,None
562,566,567
560,568,None
569,570,None
568,569,571
565,572,None
573,574,None
572,573,575
565,576,None
577,578,None
576,577,579
580,581,None
568,580,582
563,566,583
584,563,585
561,586,None
568,561,587
266,588,589
590,591,592
590,593,594
590,595,596
597,598,None
598,593,599
600,601,602
600,603,604
590,605,606
600,607,608
609,610,611
30,338,None
612,613,None
614,615,None
613,614,616
617,618,None
619,617,620
335,352,621
33,622,623
624,338,625
626,180,None
180,338,627
624,628,629
338,352,630
624,619,631
335,144,None
338,335,632
8,622,633
34,634,635
636,617,None
617,338,637
617,157,638
34,639,640
34,68,641
34,85,642
393,338,643
34,67,644
36,645,None
645,37,646
352,352,647
34,9,648
352,2,649
325,622,650
651,282,None
624,651,652
338,653,654
68,52,655
52,27,656
224,37,657
52,645,658
622,9,659
52,171,660
68,661,662
663,17,664
100,52,665
666,52,667
184,9,668
6,669,670
671,672,None
52,671,673
674,8,675
68,200,676
6,619,677
34,13,678
67,52,679
672,52,680
278,634,681
682,683,None
112,682,684
52,685,686
112,89,687
688,689,None
112,688,690
112,93,691
692,693,None
6,692,694
695,696,None
696,52,697
112,698,699
107,682,700
107,698,701
107,688,702
112,107,703
89,682,704
705,706,None
6,705,707
6,122,708
6,624,709
710,711,None
6,710,712
713,107,714
715,716,None
688,715,717
6,718,719
720,70,721
50,78,722
723,724,None
6,723,725
726,727,None
6,726,728
6,653,729
33,730,731
60,251,732
68,733,734
50,735,736
730,251,737
50,274,738
739,258,740
48,274,741
258,78,742
305,85,743
50,744,745
78,60,746
50,85,747
64,68,748
258,17,749
274,67,750
48,308,751
6,628,752
50,60,753
754,755,None
122,754,756
68,672,757
758,6,759
181,760,None
760,6,761
50,6,762
763,17,764
274,68,765
